fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	force_row_wise	seed	extra_trees	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	max_bin	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	iter	metrica_mejor	metrica_sd	metrica
20251112.031038	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	26	0.0849237750971986	0.222038357428154	3	31	1	325125527.236382	NA	325125527.236382
20251112.031204	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	622	0.0975258029257567	0.768877987364917	607	68	2	356364507.746127	NA	356364507.746127
20251112.031222	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	46	0.01030360015845	0.689948472552766	15	489	3	356364507.746127	NA	331169445.277361
20251112.031316	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	345	0.0121338915728049	0.371720119940649	26	12	4	356364507.746127	NA	335021619.190405
20251112.031321	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	4	0.160200307748229	0.85373329324334	321	47	5	356364507.746127	NA	309820569.715142
20251112.031338	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	193	0.0180256155708488	0.90050655762557	2301	18	6	356364507.746127	NA	332638200.89955
20251112.031353	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	80	0.0600961216432376	0.755478160983058	74	114	7	356364507.746127	NA	350331614.192904
20251112.031458	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	704	0.013415070065801	0.170985240233114	6319	4	8	356364507.746127	NA	331782238.88056
20251112.031505	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	19	0.0488743226125478	0.512780160684086	13974	3	9	356364507.746127	NA	275437351.324338
20251112.031513	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	49	0.127938622806178	0.0887752535025945	9	43	10	356364507.746127	NA	342368865.567216
20251112.031738	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	327203	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1247	0.251585191334299	0.290525212902982	5631	8	11	356364507.746127	NA	335021799.10045
